Date,NAV,Dividend,TotalReturn,TotalReturnMethod
2026-05-14,0.9651,0.0,0.9651,reinvested_dividend_index_v1
2026-05-15,0.9721,0.0,0.9721,reinvested_dividend_index_v1
2026-05-18,0.9793,0.0,0.9793,reinvested_dividend_index_v1
2026-05-19,0.9739,0.0,0.9739,reinvested_dividend_index_v1
2026-05-20,0.9677,0.0,0.9677,reinvested_dividend_index_v1
2026-05-21,0.9674,0.0,0.9674,reinvested_dividend_index_v1
2026-05-22,0.9779,0.0,0.9779,reinvested_dividend_index_v1
2026-05-25,0.9779,0.0,0.9779,reinvested_dividend_index_v1
2026-05-26,0.9772,0.0,0.9772,reinvested_dividend_index_v1
2026-05-28,0.9823,0.0,0.9823,reinvested_dividend_index_v1
2026-05-29,0.9919,0.0,0.9919,reinvested_dividend_index_v1
2026-06-03,0.9809,0.0,0.9809,reinvested_dividend_index_v1
2026-06-04,0.9882,0.0,0.9882,reinvested_dividend_index_v1
2026-06-05,0.9806,0.0,0.9806,reinvested_dividend_index_v1
2026-06-08,0.9701,0.0,0.9701,reinvested_dividend_index_v1
2026-06-09,0.9809,0.0,0.9809,reinvested_dividend_index_v1
2026-06-10,0.9695,0.0,0.9695,reinvested_dividend_index_v1
2026-06-11,0.9552,0.0,0.9552,reinvested_dividend_index_v1
2026-06-12,0.9558,0.0,0.9558,reinvested_dividend_index_v1
2026-06-15,0.9808,0.0,0.9808,reinvested_dividend_index_v1
2026-06-16,0.9769,0.0,0.9769,reinvested_dividend_index_v1
2026-06-18,0.9571,0.0,0.9571,reinvested_dividend_index_v1
2026-06-19,0.9571,0.0,0.9571,reinvested_dividend_index_v1
2026-06-22,0.9599,0.0,0.9599,reinvested_dividend_index_v1
2026-06-23,0.9599,0.0,0.9599,reinvested_dividend_index_v1
2026-06-24,0.9495,0.0,0.9495,reinvested_dividend_index_v1
2026-06-25,0.9423,0.0,0.9423,reinvested_dividend_index_v1
2026-06-26,0.9408,0.0,0.9408,reinvested_dividend_index_v1
2026-06-29,0.9562,0.0,0.9562,reinvested_dividend_index_v1
2026-06-30,0.9568,0.0,0.9568,reinvested_dividend_index_v1
2026-07-01,0.968,0.0,0.968,reinvested_dividend_index_v1
2026-07-02,0.9778,0.0,0.9778,reinvested_dividend_index_v1
2026-07-03,0.9778,0.0,0.9778,reinvested_dividend_index_v1
2026-07-06,0.9745,0.0,0.9745,reinvested_dividend_index_v1
2026-07-07,0.9807,0.0,0.9807,reinvested_dividend_index_v1
2026-07-08,0.9701,0.0,0.9701,reinvested_dividend_index_v1
2026-07-09,0.9738,0.0,0.9738,reinvested_dividend_index_v1
2026-07-10,0.9839,0.0,0.9839,reinvested_dividend_index_v1
2026-07-13,0.9838,0.0,0.9838,reinvested_dividend_index_v1
2026-07-14,0.9798,0.0,0.9798,reinvested_dividend_index_v1
2026-07-15,0.9842,0.0,0.9842,reinvested_dividend_index_v1
2026-07-16,0.9853,0.0,0.9853,reinvested_dividend_index_v1
2026-07-17,0.9759,0.0,0.9759,reinvested_dividend_index_v1
2026-07-20,0.971,0.0,0.971,reinvested_dividend_index_v1
2026-07-21,0.966,0.0,0.966,reinvested_dividend_index_v1
2026-07-22,0.9635,0.0,0.9635,reinvested_dividend_index_v1
2026-07-23,0.9513,0.0,0.9513,reinvested_dividend_index_v1
2026-07-24,0.9484,0.0,0.9484,reinvested_dividend_index_v1
2026-07-27,0.9599,0.0,0.9599,reinvested_dividend_index_v1
2026-07-28,0.9651,0.0,0.9651,reinvested_dividend_index_v1
2026-07-29,0.969,0.0,0.969,reinvested_dividend_index_v1
