Date,NAV,Dividend,TotalReturn,TotalReturnMethod
2025-02-07,0.3663,0.0,0.3938840005636979,reinvested_dividend_index_v1
2025-02-10,0.3678,0.0,0.3954969571589628,reinvested_dividend_index_v1
2025-02-12,0.37,0.0,0.39786262683201806,reinvested_dividend_index_v1
2025-02-13,0.3697,0.0,0.397540035512965,reinvested_dividend_index_v1
2025-02-14,0.3718,0.0,0.399798174746336,reinvested_dividend_index_v1
2025-02-17,0.3733,0.0,0.40141113134160095,reinvested_dividend_index_v1
2025-02-18,0.3745,0.0,0.40270149661781285,reinvested_dividend_index_v1
2025-02-19,0.3735,0.0,0.40162619222096957,reinvested_dividend_index_v1
2025-02-20,0.3701,0.0,0.3979701572717024,reinvested_dividend_index_v1
2025-02-21,0.3742,0.0,0.40237890529875986,reinvested_dividend_index_v1
2025-02-24,0.3697,0.0,0.397540035512965,reinvested_dividend_index_v1
2025-02-25,0.3655,0.0,0.3930237570462232,reinvested_dividend_index_v1
2025-02-26,0.3699,0.0,0.39775509639233375,reinvested_dividend_index_v1
2025-02-27,0.367,0.0,0.39463671364148817,reinvested_dividend_index_v1
2025-02-28,0.3597,0.0,0.38678699154453217,reinvested_dividend_index_v1
2025-03-03,0.3605,0.0,0.38764723506200677,reinvested_dividend_index_v1
2025-03-04,0.3586,0.0,0.3856041567080045,reinvested_dividend_index_v1
2025-03-05,0.3612,0.0,0.3883999481397971,reinvested_dividend_index_v1
2025-03-06,0.3659,0.0,0.3934538788049606,reinvested_dividend_index_v1
2025-03-07,0.3619,0.0,0.3891526612175874,reinvested_dividend_index_v1
2025-03-10,0.3584,0.0,0.38538909582863584,reinvested_dividend_index_v1
2025-03-11,0.3546,0.0,0.3813029391206314,reinvested_dividend_index_v1
2025-03-12,0.3566,0.0,0.3834535479143179,reinvested_dividend_index_v1
2025-03-13,0.3548,0.0,0.381518,reinvested_dividend_index_v1
2025-03-14,0.3588,0.0,0.3858192175873732,reinvested_dividend_index_v1
2025-03-17,0.3631,0.0,0.3904430264937993,reinvested_dividend_index_v1
2025-03-19,0.3647,0.0,0.3921635135287486,reinvested_dividend_index_v1
2025-03-20,0.3638,0.0,0.39119573957158965,reinvested_dividend_index_v1
2025-03-21,0.3609,0.0,0.3880773568207441,reinvested_dividend_index_v1
2025-03-24,0.3621,0.0,0.389367722096956,reinvested_dividend_index_v1
2025-03-25,0.361,0.0,0.38818488726042844,reinvested_dividend_index_v1
2025-03-26,0.3618,0.0,0.3890451307779031,reinvested_dividend_index_v1
2025-03-27,0.3612,0.0,0.3883999481397971,reinvested_dividend_index_v1
2025-03-28,0.3589,0.0,0.3859267480270575,reinvested_dividend_index_v1
