Date,NAV
2025-03-26,0.6224
2025-03-27,0.6209
2025-03-28,0.6089
2025-04-02,0.6138
2025-04-03,0.5901
2025-04-04,0.5551
2025-04-07,0.5479
2025-04-08,0.5432
2025-04-09,0.5851
2025-04-10,0.5725
2025-04-11,0.5817
2025-04-14,0.587
2025-04-15,0.5892
2025-04-16,0.5805
2025-04-17,0.5832
2025-04-18,0.5832
2025-04-21,0.5832
2025-04-22,0.588
2025-04-23,0.5963
2025-04-24,0.6074
2025-04-25,0.6118
2025-04-28,0.613
2025-04-29,0.6159
2025-04-30,0.6175
2025-05-02,0.6324
2025-05-05,0.6309
2025-05-06,0.626
2025-05-07,0.6255
2025-05-08,0.6266
2025-05-09,0.6266
2025-05-13,0.6484
2025-05-14,0.6492
2025-05-15,0.6531
2025-05-16,0.655
2025-05-19,0.6589
2025-05-20,0.658
2025-05-21,0.6507
2025-05-22,0.6512
2025-05-23,0.649
2025-05-26,0.649
2025-05-27,0.6594
2025-05-28,0.6554
2025-05-29,0.6554
2025-05-30,0.6567
2025-06-03,0.661
2025-06-04,0.6642
2025-06-05,0.6619
2025-06-06,0.6656
2025-06-09,0.6656
2025-06-10,0.6692
2025-06-11,0.67
2025-06-12,0.6713
2025-06-13,0.6632
2025-06-16,0.6679
2025-06-17,0.6602
2025-06-18,0.6614
2025-06-19,0.6614
2025-06-20,0.6575
2025-06-23,0.6575
2025-06-24,0.6729
2025-06-25,0.6717
2025-06-26,0.6774
2025-06-30,0.6846
2025-07-01,0.6802
2025-07-02,0.6838
2025-07-03,0.6874
2025-07-04,0.6874
2025-07-07,0.6824
2025-07-08,0.6822
2025-07-09,0.6869
2025-07-10,0.6873
2025-07-11,0.683
2025-07-14,0.6843
2025-07-15,0.6808
2025-07-16,0.6826
2025-07-17,0.6867
2025-07-18,0.6865
2025-07-21,0.6874
2025-07-22,0.6868
2025-07-23,0.6959
2025-07-24,0.6947
2025-07-25,0.6951
2025-07-28,0.693
2025-07-29,0.6888
2025-07-30,0.6873
2025-07-31,0.6842
2025-08-01,0.6763
2025-08-04,0.6878
2025-08-05,0.6819
2025-08-06,0.6869
2025-08-07,0.6895
2025-08-08,0.6907
2025-08-11,0.6888
2025-08-12,0.6964
2025-08-13,0.698
2025-08-14,0.6972
2025-08-15,0.6972
2025-08-18,0.6971
2025-08-19,0.6936
2025-08-20,0.6919
2025-08-21,0.6887
2025-08-22,0.6989
2025-08-25,0.6947
2025-08-26,0.6953
2025-08-27,0.6953
2025-08-28,0.6983
2025-08-29,0.6937
2025-09-02,0.6882
2025-09-03,0.6908
2025-09-04,0.6954
2025-09-08,0.7014
2025-09-09,0.7022
2025-09-10,0.7021
2025-09-11,0.7096
2025-09-12,0.709
2025-09-17,0.7118
2025-09-18,0.7151
2025-09-19,0.7151
