Date,NAV,Dividend
2024-12-11,0.4144,
2024-12-12,0.418,
2024-12-13,0.4149,
2024-12-16,0.4108,
2024-12-17,0.412,
2024-12-18,0.4143,
2024-12-19,0.4156,
2024-12-20,0.4143,
2024-12-23,0.4161,
2024-12-24,0.4181,
2024-12-26,0.4181,
2024-12-27,0.4192,
2024-12-30,0.4167,
2024-12-31,0.4157,
2025-01-02,0.4096,
2025-01-03,0.4111,
2025-01-06,0.4146,
2025-01-07,0.4136,
2025-01-08,0.4097,
2025-01-09,0.4076,
2025-01-10,0.402,
2025-01-13,0.3956,
2025-01-14,0.404,
2025-01-15,0.4016,
2025-01-16,0.4081,
2025-01-17,0.411,
2025-01-20,0.4162,
2025-01-21,0.417,
2025-01-22,0.4119,
2025-01-23,0.4114,
2025-01-24,0.4105,
2025-01-27,0.4105,
2025-01-28,0.4116,
2025-01-31,0.4116,
2025-02-03,0.4097,
2025-02-04,0.4132,
2025-02-05,0.4126,
2025-02-06,0.4209,
2025-02-07,0.4264,
2025-02-10,0.4308,
2025-02-12,0.4349,
2025-02-13,0.4323,
2025-02-14,0.438,
2025-02-17,0.4416,
2025-02-18,0.4457,
2025-02-19,0.4454,
2025-02-20,0.4412,
2025-02-21,0.4549,
2025-02-24,0.4486,
2025-02-25,0.4416,
2025-02-26,0.4515,
2025-02-27,0.4509,
2025-02-28,0.4401,
2025-03-03,0.4382,
2025-03-04,0.4381,
2025-03-05,0.4458,
2025-03-06,0.4557,
2025-03-07,0.4513,
2025-03-10,0.445,
2025-03-11,0.4439,
2025-03-12,0.4451,
2025-03-13,0.44,
2025-03-14,0.4472,
2025-03-17,0.451,
2025-03-19,0.4542,
2025-03-20,0.4489,
2025-03-21,0.4391,
2025-03-24,0.4408,
2025-03-25,0.4351,
2025-03-26,0.4358,
2025-03-27,0.436,
2025-03-28,0.4315,
2025-04-02,0.4316,
2025-04-03,0.4236,
2025-04-04,0.4236,
2025-04-07,0.3735,
2025-04-08,0.3718,
2025-04-09,0.368,
2025-04-10,0.381,
2025-04-11,0.3841,
2025-04-14,0.391,
2025-04-15,0.3927,
2025-04-16,0.3825,
2025-04-17,0.3852,
2025-04-18,0.3852,
2025-04-21,0.3852,
2025-04-22,0.3848,
2025-04-23,0.3962,
2025-04-24,0.3914,
2025-04-25,0.3951,
2025-04-28,0.3947,
2025-04-29,0.3962,
2025-04-30,0.3985,
2025-05-02,0.4045,
2025-05-05,0.4045,
2025-05-06,0.4053,
2025-05-07,0.4026,
2025-05-08,0.4072,
2025-05-09,0.4107,
2025-05-13,0.4198,
2025-05-14,0.425,
2025-05-15,0.4226,
2025-05-16,0.4228,
2025-05-19,0.4175,
2025-05-20,0.4217,
2025-05-21,0.4233,
2025-05-22,0.4205,
2025-05-23,0.4157,
2025-05-26,0.411,
2025-05-27,0.4119,
2025-05-28,0.4097,
2025-05-29,0.4161,
2025-05-30,0.4131,
2025-06-03,0.4129,
2025-06-04,0.4197,
2025-06-05,0.42,
2025-06-06,0.4199,
2025-06-09,0.4251,
2025-06-10,0.4287,
2025-06-11,0.4328,
2025-06-12,0.4298,
2025-06-13,0.4285,
2025-06-16,0.4304,
2025-06-17,0.4301,
2025-06-18,0.4299,
2025-06-19,0.4225,
2025-06-20,0.4237,
2025-06-23,0.4281,
2025-06-24,0.4337,
2025-06-25,0.4378,
2025-06-26,0.4363,
2025-06-30,0.4315,
2025-07-01,0.4315,
2025-07-02,0.437,
2025-07-03,0.4401,
2025-07-04,0.4377,
2025-07-07,0.4363,
2025-07-08,0.4393,
2025-07-09,0.4392,
2025-07-10,0.4402,
2025-07-11,0.4422,
2025-07-14,0.4408,
2025-07-15,0.4481,
2025-07-16,0.4477,
2025-07-17,0.4504,
2025-07-18,0.4552,
2025-07-21,0.4539,
2025-07-22,0.4515,
2025-07-23,0.4572,
2025-07-24,0.4598,
2025-07-25,0.4578,
2025-07-28,0.4614,
2025-07-29,0.4613,
2025-07-30,0.4595,
2025-07-31,0.4596,
2025-08-01,0.4554,
2025-08-04,0.4543,
2025-08-05,0.4593,
2025-08-06,0.4597,
2025-08-07,0.4681,
2025-08-08,0.4696,
2025-08-11,0.4711,
2025-08-12,0.471,
2025-08-13,0.4787,
2025-08-14,0.4785,
2025-08-15,0.4836,
2025-08-18,0.489,
2025-08-19,0.4861,
2025-08-20,0.4777,
2025-08-21,0.4778,
2025-08-22,0.4827,
2025-08-25,0.4931,
2025-08-26,0.4939,
2025-08-27,0.4927,
2025-08-28,0.49,
2025-08-29,0.4951,
2025-09-02,0.4929,
2025-09-03,0.493,
2025-09-04,0.4855,
2025-09-08,0.5036,
2025-09-09,0.5078,
2025-09-10,0.5168,
2025-09-11,0.5206,
2025-09-12,0.522,
2025-09-17,0.5303,
2025-09-18,0.5318,
2025-09-19,0.5312,
2025-09-22,0.5366,
2025-09-23,0.5337,
2025-09-24,0.5391,
2025-09-25,0.5368,
2025-09-26,0.5288,
2025-09-29,0.537,
2025-09-30,0.5464,
2025-10-01,0.5464,
2025-10-02,0.5579,
2025-10-03,0.5607,
2025-10-06,0.5611,
2025-10-07,0.5611,
2025-10-08,0.5598,
2025-10-09,0.5611,
2025-10-10,0.5487,
2025-10-13,0.5436,
2025-10-14,0.5289,
2025-10-15,0.5419,
2025-10-16,0.5416,
2025-10-17,0.5245,
2025-10-21,0.5417,
2025-10-22,0.5354,
2025-10-23,0.5346,
2025-10-24,0.5421,
2025-10-27,0.5541,
2025-10-28,0.5501,
2025-10-29,0.5501,
2025-10-30,0.5508,
2025-10-31,0.542,
2025-11-03,0.5425,
2025-11-04,0.5345,
2025-11-05,0.5308,
2025-11-06,0.5396,
2025-11-07,0.5304,
2025-11-10,0.5347,
2025-11-11,0.5293,
2025-11-12,0.5287,
2025-11-13,0.5328,
2025-11-14,0.5216,
2025-11-17,0.5216,
2025-11-18,0.5104,
2025-11-19,0.5065,
2025-11-20,0.5124,
2025-11-21,0.4916,
2025-11-24,0.4979,
2025-11-25,0.506,
2025-11-26,0.5105,
2025-11-27,0.5107,
2025-11-28,0.5132,
2025-12-01,0.5142,
2025-12-02,0.5154,
2025-12-03,0.5131,
2025-12-04,0.5134,
2025-12-05,0.5192,
2025-12-08,0.5216,
2025-12-09,0.5181,
2025-12-10,0.5214,
2025-12-11,0.5148,
2025-12-12,0.5222,
2025-12-15,0.5111,
2025-12-16,0.4996,
2025-12-17,0.5051,
2025-12-18,0.5026,
2025-12-19,0.5076,
2025-12-22,0.5155,
2025-12-23,0.5144,
2025-12-24,0.516,
2025-12-26,0.516,
2025-12-29,0.5175,
2025-12-30,0.5175,
2025-12-31,0.5182,
2026-01-02,0.5278,
2026-01-05,0.5372,
2026-01-06,0.5428,
2026-01-07,0.5416,
2026-01-08,0.5372,
2026-01-09,0.5413,
2026-01-12,0.5468,
2026-01-13,0.5469,
2026-01-14,0.5524,
2026-01-15,0.5511,
2026-01-16,0.5588,
2026-01-19,0.5541,
2026-01-20,0.5535,
2026-01-21,0.5545,
2026-01-22,0.5615,
2026-01-23,0.5652,
2026-01-26,0.5591,
2026-01-27,0.566,
2026-01-28,0.5723,
2026-01-29,0.5684,
2026-01-30,0.5597,
2026-02-03,0.5581,
2026-02-04,0.5567,
2026-02-05,0.5474,
2026-02-06,0.5436,
2026-02-09,0.5607,
2026-02-10,0.5666,
2026-02-11,0.5721,
2026-02-12,0.5721,
2026-02-13,0.5649,
2026-02-16,0.5662,
2026-02-19,0.5662,
2026-02-20,0.5623,
2026-02-23,0.5684,
2026-02-24,0.5737,
2026-02-25,0.582,
2026-02-26,0.5792,
2026-02-27,0.5816,
2026-03-02,0.5769,
2026-03-03,0.5606,
2026-03-04,0.5408,
2026-03-05,0.5527,
2026-03-06,0.5561,
2026-03-09,0.5367,
2026-03-10,0.5554,
2026-03-11,0.5657,
2026-03-12,0.5605,
2026-03-13,0.5576,
2026-03-16,0.5591,
2026-03-17,0.5604,
2026-03-18,0.5743,
2026-03-19,0.5634,
2026-03-24,0.5484,
2026-03-25,0.5685,
2026-03-26,0.5634,
2026-03-27,0.5654,
2026-03-30,0.56,
2026-03-31,0.547,
2026-04-01,0.5713,
2026-04-02,0.5618,
2026-04-03,0.5618,
2026-04-06,0.5618,
2026-04-07,0.5618,
2026-04-08,0.5988,
2026-04-09,0.602,
2026-04-10,0.6096,
2026-04-13,0.608,
2026-04-14,0.6163,
2026-04-15,0.6249,
2026-04-16,0.6414,
2026-04-17,0.6395,
2026-04-20,0.6473,
2026-04-21,0.658,
2026-04-22,0.6602,
2026-04-23,0.6541,
